School,lat,long
ZHONGHUA PRIMARY SCHOOL,1.36020329705047,103.869762438084
ZHENGHUA PRIMARY SCHOOL,1.37954887512229,103.769313521752
ZHANGDE PRIMARY SCHOOL,1.28421153335379,103.825951875662
YUMIN PRIMARY SCHOOL,1.35129177656981,103.950461927088
YUHUA PRIMARY SCHOOL,1.34280230475033,103.741105772644
YU NENG PRIMARY SCHOOL,1.33388930344069,103.932144857355
JIEMIN PRIMARY SCHOOL,1.42768847665227,103.830425490093
XISHAN PRIMARY SCHOOL,1.43347186925064,103.837755319448
AHMAD IBRAHIM PRIMARY SCHOOL,1.43315271543517,103.832942401086
YISHUN PRIMARY SCHOOL,1.43338602975674,103.834087115915
PEIYING PRIMARY SCHOOL,1.41723339695904,103.830417090698
NORTH VIEW PRIMARY SCHOOL,1.42752327193727,103.848190787869
NORTHLAND PRIMARY SCHOOL,1.42096989918951,103.840928424929
NAVAL BASE PRIMARY SCHOOL,1.41630663159387,103.838794077233
HUAMIN PRIMARY SCHOOL,1.42697284512936,103.844240226564
YIO CHU KANG PRIMARY SCHOOL,1.37793264345276,103.885643682171
YEW TEE PRIMARY SCHOOL,1.39676600905037,103.750985967346
YANGZHENG PRIMARY SCHOOL,1.34864575840923,103.868595527042
XINMIN PRIMARY SCHOOL,1.37139548941931,103.883080767491
XINGNAN PRIMARY SCHOOL,1.34254744877694,103.687950252103
XINGHUA PRIMARY SCHOOL,1.35790893589535,103.890472887906
QIHUA PRIMARY SCHOOL,1.4420359661233,103.788339756898
WOODLANDS RING PRIMARY SCHOOL,1.43495229315857,103.797435733144
WOODLANDS PRIMARY SCHOOL,1.43655108594232,103.791570546509
GREENWOOD PRIMARY SCHOOL,1.43989958331782,103.804725587384
INNOVA PRIMARY SCHOOL,1.42896700684852,103.790607539185
WOODGROVE PRIMARY SCHOOL,1.43310340168966,103.790604437613
RIVERSIDE PRIMARY SCHOOL,1.44704734253719,103.801831963297
EVERGREEN PRIMARY SCHOOL,1.44415332824735,103.794577787757
ADMIRALTY PRIMARY SCHOOL,1.4426347903311,103.800040119743
MARSILING PRIMARY SCHOOL,1.43383904037059,103.773643013846
SI LING PRIMARY SCHOOL,1.43240935732525,103.786035065192
FUCHUN PRIMARY SCHOOL,1.43047990810126,103.778192944298
TECK WHYE PRIMARY SCHOOL,1.38364996834457,103.753291857016
WHITE SANDS PRIMARY SCHOOL,1.36555714668553,103.960918869319
WESTWOOD PRIMARY SCHOOL,1.34718456606375,103.70053420978
WEST VIEW PRIMARY SCHOOL,1.3836758200336,103.760240434318
PIONEER PRIMARY SCHOOL,1.33902264667589,103.687769623983
WEST GROVE PRIMARY SCHOOL,1.3448790560014,103.699286360581
JURONG WEST PRIMARY SCHOOL,1.33917519796104,103.698803732244
FRONTIER PRIMARY SCHOOL,1.33641298743234,103.69970173931
RULANG PRIMARY SCHOOL,1.34673868889096,103.718457955487
SHUQUN PRIMARY SCHOOL,1.34765311431632,103.721523713379
CORPORATION PRIMARY SCHOOL,1.35099779872539,103.707593724342
WEST SPRING PRIMARY SCHOOL,1.38944145898943,103.766195711835
QIFA PRIMARY SCHOOL,1.31325113867272,103.756743261958
PRINCESS ELIZABETH PRIMARY SCHOOL,1.349203512653,103.74101964471
WELLINGTON PRIMARY SCHOOL,1.45192019155475,103.822303719094
WATERWAY PRIMARY SCHOOL,1.39882800626578,103.918621581556
SENG KANG PRIMARY SCHOOL,1.38949740422462,103.899767112047
PUNGGOL GREEN PRIMARY SCHOOL,1.40187220643293,103.898801330302
PUNGGOL COVE PRIMARY SCHOOL,1.41159923273069,103.898803921164
LAKESIDE PRIMARY SCHOOL,1.33820397704287,103.718089546664
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,1.33805634613048,103.776106448614
NORTH VISTA PRIMARY SCHOOL,1.38282243016299,103.895961877928
PUNGGOL VIEW PRIMARY SCHOOL,1.40514582647962,103.905156371376
SOUTH VIEW PRIMARY SCHOOL,1.38166664389749,103.746275846011
BUKIT VIEW PRIMARY SCHOOL,1.34586054788695,103.75366641455
PALM VIEW PRIMARY SCHOOL,1.38376923022123,103.891354675017
PARK VIEW PRIMARY SCHOOL,1.37738069854249,103.939541695654
STAMFORD PRIMARY SCHOOL,1.30345638467449,103.857453500579
VALOUR PRIMARY SCHOOL,1.40683570215319,103.899078139493
RIVER VALLEY PRIMARY SCHOOL,1.2942232846169,103.835815165829
THE JAPANESE PRIMARY SCHOOL,1.35422994843944,103.965590656291
UNITY PRIMARY SCHOOL,1.40285481877246,103.746822625758
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL (U/C),1.34931014201944,103.854300279284
MAYFLOWER PRIMARY SCHOOL (U/C),1.37637683547682,103.843252803742
SAINT HILDA'S PRIMARY SCHOOL (U/C),1.34934994368496,103.937920511812
ANGSANA PRIMARY SCHOOL (U/C),1.36360590588314,103.9389409004
SAINT MARGARET'S PRIMARY SCHOOL (U/C),1.30375892693678,103.846192524384
FIRST TOA PAYOH PRIMARY SCHOOL,1.34032299499938,103.855529906182
TOWNSVILLE PRIMARY SCHOOL,1.36003263746623,103.853826048327
NEW TOWN PRIMARY SCHOOL,1.29964188181021,103.80010216304
PEI TONG PRIMARY SCHOOL,1.31619786415976,103.767599818844
BUKIT TIMAH PRIMARY SCHOOL,1.3372995575169,103.766828720721
TANJONG KATONG PRIMARY SCHOOL,1.30524084264265,103.900092702031
NGEE ANN PRIMARY SCHOOL,1.30552505910497,103.917463017497
TEMASEK PRIMARY SCHOOL,1.31770677551333,103.945590669163
TELOK KURAU PRIMARY SCHOOL,1.33104585441349,103.910934011337
BLANGAH RISE PRIMARY SCHOOL,1.27612047924037,103.808628535239
TECK GHEE PRIMARY SCHOOL,1.36558782075966,103.850957126982
JUNYUAN PRIMARY SCHOOL,1.34787074766746,103.939221709073
GONGSHANG PRIMARY SCHOOL,1.35723721393297,103.949115320172
EAST SPRING PRIMARY SCHOOL,1.35268400746357,103.961676849165
ANGSANA PRIMARY SCHOOL,1.34855287558648,103.951808105552
CHONGZHENG PRIMARY SCHOOL,1.35070739237744,103.951399541868
TAMPINES PRIMARY SCHOOL,1.34977870805929,103.944004684986
TAMPINES NORTH PRIMARY SCHOOL,1.36047641484682,103.948725782833
SAINT HILDA'S PRIMARY SCHOOL,1.34938565036336,103.937007133662
OPERA ESTATE PRIMARY SCHOOL,1.31931914436255,103.923788259248
NORTH SPRING PRIMARY SCHOOL,1.38706146494859,103.903202683028
COMPASSVALE PRIMARY SCHOOL,1.39444529636566,103.897812229905
HOUGANG PRIMARY SCHOOL,1.37738245231461,103.880805274557
MERIDIAN PRIMARY SCHOOL,1.37552831658484,103.934889078518
KRANJI PRIMARY SCHOOL,1.39356050497104,103.747362720939
LIANHUA PRIMARY SCHOOL,1.35424191127295,103.754165828711
JING SHAN PRIMARY SCHOOL,1.37223290983498,103.852132214306
ELIAS PARK PRIMARY SCHOOL,1.37451269377776,103.945128117139
CASUARINA PRIMARY SCHOOL,1.37246063927999,103.957020286115
SAINT ANTHONY'S PRIMARY SCHOOL,1.36411948475833,103.749251919049
JURONG PRIMARY SCHOOL,1.34843859698946,103.733156566858
DAZHONG PRIMARY SCHOOL,1.3591797447277,103.74847210784
CHANGKAT PRIMARY SCHOOL,1.34023163951633,103.952080114035
PASIR RIS PRIMARY SCHOOL,1.37241870245531,103.962807212116
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1.34978223750981,103.85452928785
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1.34939813669536,103.855018233311
FUHUA PRIMARY SCHOOL,1.33650394789627,103.736103745748
GUANGYANG PRIMARY SCHOOL,1.34569011530238,103.849453239895
BEDOK GREEN PRIMARY SCHOOL,1.32344593287992,103.937878976352
SAINT MARGARET'S PRIMARY SCHOOL,1.32439150290682,103.881624837373
SAINT GABRIEL'S PRIMARY SCHOOL,1.34947192653862,103.862561037707
